startix,ndate,trk,meet,race,raceix,hid,fin,post0,nh1
1495722,20150101,DB,T,5,189304,214797,4,1.0000,8.0000
1495723,20150101,DB,T,5,189304,214566,5,5.0000,8.0000
1495724,20150101,DB,T,5,189304,403795,6,4.0000,8.0000
1495725,20150101,DB,T,5,189304,928465,7,2.0000,8.0000
1495726,20150101,DB,T,5,189304,804087,8,7.0000,8.0000
1495727,20150101,DB,T,6,189305,241487,1,4.0000,8.0000
1495728,20150101,DB,T,6,189305,566086,2,6.0000,8.0000
1495729,20150101,DB,T,6,189305,546817,3,7.0000,8.0000
1495730,20150101,DB,T,6,189305,381536,4,8.0000,8.0000
1495731,20150101,DB,T,6,189305,360001,5,3.0000,8.0000
1495732,20150101,DB,T,6,189305,433075,6,2.0000,8.0000
1495733,20150101,DB,T,6,189305,759187,7,5.0000,8.0000
1495734,20150101,DB,T,6,189305,908826,8,1.0000,8.0000
1495735,20150101,DB,T,7,189306,1031295,1,2.0000,8.0000
1495736,20150101,DB,T,7,189306,356243,2,7.0000,8.0000
1495737,20150101,DB,T,7,189306,786060,3,3.0000,8.0000
1495738,20150101,DB,T,7,189306,496109,4,8.0000,8.0000
1495739,20150101,DB,T,7,189306,619024,5,4.0000,8.0000
1495740,20150101,DB,T,7,189306,867263,6,5.0000,8.0000
1495741,20150101,DB,T,7,189306,924462,7,1.0000,8.0000
1495742,20150101,DB,T,7,189306,305261,8,6.0000,8.0000
1495743,20150101,DB,T,8,189307,217600,1,1.0000,8.0000
1495744,20150101,DB,T,8,189307,324860,2,8.0000,8.0000
1495745,20150101,DB,T,8,189307,212356,3,2.0000,8.0000
1495746,20150101,DB,T,8,189307,830199,4,5.0000,8.0000
1495747,20150101,DB,T,8,189307,816788,5,7.0000,8.0000
1495748,20150101,DB,T,8,189307,681400,6,6.0000,8.0000
1495749,20150101,DB,T,8,189307,951883,7,4.0000,8.0000
1495750,20150101,DB,T,8,189307,301612,8,3.0000,8.0000
1495751,20150101,MG,A,1,189308,632898,1,6.0000,8.0000
1495752,20150101,MG,A,1,189308,142804,2,8.0000,8.0000
1495753,20150101,MG,A,1,189308,627622,3,3.0000,8.0000
1495754,20150101,MG,A,1,189308,824452,4,1.0000,8.0000
1495755,20150101,MG,A,1,189308,586894,5,5.0000,8.0000
1495756,20150101,MG,A,1,189308,521896,6,4.0000,8.0000
1495757,20150101,MG,A,1,189308,566915,7,2.0000,8.0000
1495758,20150101,MG,A,1,189308,360088,8,7.0000,8.0000
1495759,20150101,MG,A,2,189309,1040251,1,4.0000,8.0000
1495760,20150101,MG,A,2,189309,1066355,2,7.0000,8.0000
1495761,20150101,MG,A,2,189309,1044283,3,8.0000,8.0000
1495762,20150101,MG,A,2,189309,1039849,4,5.0000,8.0000
1495763,20150101,MG,A,2,189309,996870,5,1.0000,8.0000
1495764,20150101,MG,A,2,189309,1039781,6,6.0000,8.0000
1495765,20150101,MG,A,2,189309,1040268,7,2.0000,8.0000
1495766,20150101,MG,A,2,189309,1057585,8,3.0000,8.0000
1495767,20150101,MG,A,3,189310,173298,1,6.0000,7.0000
1495768,20150101,MG,A,3,189310,384884,2,1.0000,7.0000
1495769,20150101,MG,A,3,189310,877207,3,8.0000,7.0000
1495770,20150101,MG,A,3,189310,407875,4,5.0000,7.0000
1495771,20150101,MG,A,3,189310,696953,5,3.0000,7.0000
1495772,20150101,MG,A,3,189310,248623,6,2.0000,7.0000
1495773,20150101,MG,A,3,189310,509952,7,7.0000,7.0000
1495774,20150101,MG,A,4,189311,1076440,1,4.0000,8.0000
1495775,20150101,MG,A,4,189311,1040162,2,7.0000,8.0000
1495776,20150101,MG,A,4,189311,1033014,3,3.0000,8.0000
1495777,20150101,MG,A,4,189311,1048592,4,5.0000,8.0000
1495778,20150101,MG,A,4,189311,1040372,5,6.0000,8.0000
1495779,20150101,MG,A,4,189311,1040358,6,8.0000,8.0000
1495780,20150101,MG,A,4,189311,1040136,7,1.0000,8.0000
1495781,20150101,MG,A,4,189311,1039669,8,2.0000,8.0000
1495782,20150101,MG,A,5,189312,787406,1,6.0000,8.0000
1495783,20150101,MG,A,5,189312,909808,2,2.0000,8.0000
1495784,20150101,MG,A,5,189312,857711,3,1.0000,8.0000
1495785,20150101,MG,A,5,189312,771445,4,7.0000,8.0000
1495786,20150101,MG,A,5,189312,82597,5,5.0000,8.0000
1495787,20150101,MG,A,5,189312,586862,6,3.0000,8.0000
1495788,20150101,MG,A,5,189312,593233,7,4.0000,8.0000
1495789,20150101,MG,A,5,189312,964198,8,8.0000,8.0000
1495790,20150101,MG,A,6,189313,1040305,1,3.0000,8.0000
1495791,20150101,MG,A,6,189313,945682,2,8.0000,8.0000
1495792,20150101,MG,A,6,189313,436505,3,2.0000,8.0000
1495793,20150101,MG,A,6,189313,587803,4,5.0000,8.0000
1495794,20150101,MG,A,6,189313,839213,5,1.0000,8.0000
1495795,20150101,MG,A,6,189313,515901,6,7.0000,8.0000
1495796,20150101,MG,A,6,189313,488993,7,6.0000,8.0000
1495797,20150101,MG,A,6,189313,807056,8,4.0000,8.0000
1495798,20150101,MG,A,7,189314,565583,1,1.0000,8.0000
1495799,20150101,MG,A,7,189314,785518,2,6.0000,8.0000
1495800,20150101,MG,A,7,189314,936503,3,3.0000,8.0000
1495801,20150101,MG,A,7,189314,699668,4,2.0000,8.0000
1495802,20150101,MG,A,7,189314,251776,5,7.0000,8.0000
1495803,20150101,MG,A,7,189314,868952,6,8.0000,8.0000
1495804,20150101,MG,A,7,189314,507272,7,5.0000,8.0000
1495805,20150101,MG,A,7,189314,868059,8,4.0000,8.0000
1495806,20150101,MG,A,8,189315,661079,1,7.0000,7.0000
1495807,20150101,MG,A,8,189315,205430,2,4.0000,7.0000
1495808,20150101,MG,A,8,189315,488944,3,8.0000,7.0000
1495809,20150101,MG,A,8,189315,243730,4,2.0000,7.0000
1495810,20150101,MG,A,8,189315,661372,5,6.0000,7.0000
1495811,20150101,MG,A,8,189315,538569,6,5.0000,7.0000
1495812,20150101,MG,A,8,189315,623055,7,3.0000,7.0000
1495813,20150101,MG,A,9,189316,981650,1,4.0000,7.0000
1495814,20150101,MG,A,9,189316,419525,2,5.0000,7.0000
1495815,20150101,MG,A,9,189316,257001,3,6.0000,7.0000
1495816,20150101,MG,A,9,189316,1012763,4,1.0000,7.0000
1495817,20150101,MG,A,9,189316,546146,5,8.0000,7.0000
1495818,20150101,MG,A,9,189316,1039831,6,2.0000,7.0000
1495819,20150101,MG,A,9,189316,109331,7,7.0000,7.0000
1495820,20150101,MG,E,1,189317,543447,1,3.0000,7.0000
1495821,20150101,MG,E,1,189317,534842,2,5.0000,7.0000
1495822,20150101,MG,E,1,189317,404398,3,2.0000,7.0000
1495823,20150101,MG,E,1,189317,636205,4,6.0000,7.0000
1495824,20150101,MG,E,1,189317,481559,5,1.0000,7.0000
1495825,20150101,MG,E,1,189317,583779,6,8.0000,7.0000
1495826,20150101,MG,E,1,189317,585211,7,7.0000,7.0000
1495827,20150101,MG,E,2,189318,607246,1,4.0000,8.0000
1495828,20150101,MG,E,2,189318,679800,2,7.0000,8.0000
1495829,20150101,MG,E,2,189318,1039841,3,6.0000,8.0000
1495830,20150101,MG,E,2,189318,814381,4,1.0000,8.0000
1495831,20150101,MG,E,2,189318,986431,5,5.0000,8.0000
1495832,20150101,MG,E,2,189318,1039860,6,8.0000,8.0000
1495833,20150101,MG,E,2,189318,144784,7,3.0000,8.0000
1495834,20150101,MG,E,2,189318,707942,8,2.0000,8.0000
1495835,20150101,MG,E,3,189319,936793,1,8.0000,8.0000
1495836,20150101,MG,E,3,189319,272542,2,6.0000,8.0000
1495837,20150101,MG,E,3,189319,419407,3,1.0000,8.0000
1495838,20150101,MG,E,3,189319,726822,4,5.0000,8.0000
1495839,20150101,MG,E,3,189319,271769,5,2.0000,8.0000
1495840,20150101,MG,E,3,189319,696090,6,4.0000,8.0000
1495841,20150101,MG,E,3,189319,582190,7,7.0000,8.0000
1495842,20150101,MG,E,3,189319,807801,8,3.0000,8.0000
1495843,20150101,MG,E,4,189320,218132,1,6.0000,8.0000
1495844,20150101,MG,E,4,189320,627501,2,2.0000,8.0000
1495845,20150101,MG,E,4,189320,768521,3,4.0000,8.0000
1495846,20150101,MG,E,4,189320,763202,4,7.0000,8.0000
1495847,20150101,MG,E,4,189320,1039814,5,1.0000,8.0000
1495848,20150101,MG,E,4,189320,317862,6,5.0000,8.0000
1495849,20150101,MG,E,4,189320,936589,7,3.0000,8.0000
1495850,20150101,MG,E,4,189320,995378,8,8.0000,8.0000
1495851,20150101,MG,E,5,189321,586632,1,5.0000,8.0000
1495852,20150101,MG,E,5,189321,1039788,2,1.0000,8.0000
1495853,20150101,MG,E,5,189321,745728,3,8.0000,8.0000
1495854,20150101,MG,E,5,189321,381993,4,4.0000,8.0000
1495855,20150101,MG,E,5,189321,506528,5,2.0000,8.0000
1495856,20150101,MG,E,5,189321,1039823,6,3.0000,8.0000
1495857,20150101,MG,E,5,189321,780438,7,6.0000,8.0000
1495858,20150101,MG,E,5,189321,249170,8,7.0000,8.0000
1495859,20150101,MG,E,6,189322,678448,1,1.0000,8.0000
1495860,20150101,MG,E,6,189322,522119,2,2.0000,8.0000
1495861,20150101,MG,E,6,189322,994812,3,3.0000,8.0000
1495862,20150101,MG,E,6,189322,364235,4,4.0000,8.0000
1495863,20150101,MG,E,6,189322,238489,5,6.0000,8.0000
1495864,20150101,MG,E,6,189322,407781,6,5.0000,8.0000
1495865,20150101,MG,E,6,189322,290365,7,7.0000,8.0000
1495866,20150101,MG,E,6,189322,537888,8,8.0000,8.0000
1495867,20150101,MG,E,7,189323,587419,1,5.0000,8.0000
1495868,20150101,MG,E,7,189323,603555,2,1.0000,8.0000
1495869,20150101,MG,E,7,189323,477913,3,6.0000,8.0000
1495870,20150101,MG,E,7,189323,682106,4,3.0000,8.0000
1495871,20150101,MG,E,7,189323,391661,5,2.0000,8.0000
1495872,20150101,MG,E,7,189323,727043,6,4.0000,8.0000
1495873,20150101,MG,E,7,189323,787041,7,7.0000,8.0000
1495874,20150101,MG,E,7,189323,661580,8,8.0000,8.0000
1495875,20150101,MG,E,8,189324,713417,1,3.0000,8.0000
1495876,20150101,MG,E,8,189324,674628,2,5.0000,8.0000
1495877,20150101,MG,E,8,189324,498167,3,6.0000,8.0000
1495878,20150101,MG,E,8,189324,950393,4,4.0000,8.0000
1495879,20150101,MG,E,8,189324,397415,5,8.0000,8.0000
1495880,20150101,MG,E,8,189324,640613,6,7.0000,8.0000
1495881,20150101,MG,E,8,189324,264447,7,1.0000,8.0000
1495882,20150101,MG,E,8,189324,590392,8,2.0000,8.0000
1495883,20150101,MG,E,9,189325,1044457,1,1.0000,7.0000
1495884,20150101,MG,E,9,189325,565693,2,6.0000,7.0000
1495885,20150101,MG,E,9,189325,599782,3,2.0000,7.0000
1495886,20150101,MG,E,9,189325,614278,4,8.0000,7.0000
1495887,20150101,MG,E,9,189325,222615,5,4.0000,7.0000
1495888,20150101,MG,E,9,189325,843640,6,5.0000,7.0000
1495889,20150101,MG,E,9,189325,1502,7,3.0000,7.0000
1495890,20150101,NF,E,1,189326,1056337,1,6.0000,8.0000
1495891,20150101,NF,E,1,189326,202546,2,7.0000,8.0000
1495892,20150101,NF,E,1,189326,736131,3,3.0000,8.0000
1495893,20150101,NF,E,1,189326,994912,4,8.0000,8.0000
1495894,20150101,NF,E,1,189326,975085,5,5.0000,8.0000
1495895,20150101,NF,E,1,189326,385923,6,1.0000,8.0000
1495896,20150101,NF,E,1,189326,1047525,7,2.0000,8.0000
1495897,20150101,NF,E,1,189326,1039476,8,4.0000,8.0000
1495898,20150101,NF,E,2,189327,975105,1,8.0000,7.0000
1495899,20150101,NF,E,2,189327,1075224,2,1.0000,7.0000
1495900,20150101,NF,E,2,189327,1070466,3,6.0000,7.0000
1495901,20150101,NF,E,2,189327,1079719,4,5.0000,7.0000
1495902,20150101,NF,E,2,189327,1020857,5,3.0000,7.0000
1495903,20150101,NF,E,2,189327,1076024,6,4.0000,7.0000
1495904,20150101,NF,E,2,189327,1046810,7,2.0000,7.0000
1495905,20150101,NF,E,3,189328,782670,1,4.0000,8.0000
1495906,20150101,NF,E,3,189328,379903,2,6.0000,8.0000
1495907,20150101,NF,E,3,189328,803425,3,2.0000,8.0000
1495908,20150101,NF,E,3,189328,1033118,4,3.0000,8.0000
1495909,20150101,NF,E,3,189328,63487,5,1.0000,8.0000
1495910,20150101,NF,E,3,189328,690334,6,7.0000,8.0000
1495911,20150101,NF,E,3,189328,673613,7,5.0000,8.0000
1495912,20150101,NF,E,3,189328,1056070,8,8.0000,8.0000
1495913,20150101,NF,E,4,189329,538030,1,2.0000,6.0000
1495914,20150101,NF,E,4,189329,250632,2,7.0000,6.0000
1495915,20150101,NF,E,4,189329,416804,3,8.0000,6.0000
1495916,20150101,NF,E,4,189329,507756,4,5.0000,6.0000
1495917,20150101,NF,E,4,189329,216985,5,4.0000,6.0000
1495918,20150101,NF,E,4,189329,848433,6,3.0000,6.0000
1495919,20150101,NF,E,5,189330,696005,1,3.0000,8.0000
1495920,20150101,NF,E,5,189330,2612,2,5.0000,8.0000
1495921,20150101,NF,E,5,189330,776309,3,6.0000,8.0000
1495922,20150101,NF,E,5,189330,486716,4,4.0000,8.0000
1495923,20150101,NF,E,5,189330,525960,5,8.0000,8.0000
1495924,20150101,NF,E,5,189330,498919,6,2.0000,8.0000
1495925,20150101,NF,E,5,189330,776865,7,7.0000,8.0000
1495926,20150101,NF,E,5,189330,574101,8,1.0000,8.0000
1495927,20150101,NF,E,6,189331,734270,1,1.0000,8.0000
1495928,20150101,NF,E,6,189331,896499,2,8.0000,8.0000
1495929,20150101,NF,E,6,189331,622665,3,3.0000,8.0000
1495930,20150101,NF,E,6,189331,288280,4,2.0000,8.0000
1495931,20150101,NF,E,6,189331,298478,5,6.0000,8.0000
1495932,20150101,NF,E,6,189331,1056312,6,4.0000,8.0000
1495933,20150101,NF,E,6,189331,248493,7,7.0000,8.0000
1495934,20150101,NF,E,6,189331,876671,8,5.0000,8.0000
1495935,20150101,NF,E,7,189332,816707,1,1.0000,8.0000
1495936,20150101,NF,E,7,189332,673967,2,6.0000,8.0000
1495937,20150101,NF,E,7,189332,251215,3,5.0000,8.0000
1495938,20150101,NF,E,7,189332,764847,4,3.0000,8.0000
1495939,20150101,NF,E,7,189332,712225,5,7.0000,8.0000
1495940,20150101,NF,E,7,189332,297050,6,4.0000,8.0000
1495941,20150101,NF,E,7,189332,614162,7,8.0000,8.0000
1495942,20150101,NF,E,7,189332,542931,8,2.0000,8.0000
1495943,20150101,NF,E,8,189333,433651,1,7.0000,7.0000
1495944,20150101,NF,E,8,189333,633556,2,3.0000,7.0000
1495945,20150101,NF,E,8,189333,599736,3,1.0000,7.0000
1495946,20150101,NF,E,8,189333,582174,4,6.0000,7.0000
